Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
AMD,"Advanced Micro Devices, Inc.",83.75,-0.04,-0.05%,86.467M,108.621M,135.718B,31.43,
NIO,NIO Inc.,22.55,-0.11,-0.49%,74.775M,71.608M,37.67B,N/A,
AAPL,Apple Inc.,135.35,-0.52,-0.38%,73.165M,96.051M,2.191T,22.05,
AMZN,"Amazon.com, Inc.",108.95,+0.27,+0.25%,58.016M,87.079M,1.109T,52.25,
LU,Lufax Holding Ltd,6.46,-0.36,-5.28%,48.012M,8.579M,14.766B,6.32,
T,AT&T Inc.,20.32,+0.36,+1.80%,45.622M,52.356M,145.471B,8.55,
VALE,Vale S.A.,14.48,-0.24,-1.63%,45.529M,34.345M,74.278B,3.24,
F,Ford Motor Company,11.48,+0.02,+0.17%,45.411M,63.517M,45.333B,4.00,
ITUB,Itaú Unibanco Holding S.A.,4.5700,-0.0800,-1.72%,42.271M,48.817M,44.694B,8.31,
META,"Meta Platforms, Inc.",155.85,-1.20,-0.76%,46.804M,31.677M,421.78B,11.79,
PLTR,Palantir Technologies Inc.,9.01,+0.30,+3.44%,43.072M,40.255M,18.44B,N/A,
SWN,Southwestern Energy Company,6.86,-0.05,-0.72%,42.467M,37.093M,7.657B,N/A,
NVDA,NVIDIA Corporation,163.60,-2.06,-1.24%,43.664M,57.951M,407.691B,43.87,
MO,"Altria Group, Inc.",41.50,-4.20,-9.19%,41.715M,10.891M,75.138B,25.40,
CCL,Carnival Corporation & plc,9.62,+0.05,+0.52%,38.602M,39.521M,11.308B,N/A,
NOK,Nokia Oyj,4.6800,-0.0300,-0.64%,38.495M,32.302M,26.683B,16.14,
BAC,Bank of America Corporation,32.60,-0.25,-0.76%,37.494M,50.015M,262.654B,9.28,
OXY,Occidental Petroleum Corporation,55.77,-2.10,-3.63%,37.481M,28.509M,52.267B,8.34,
AAL,American Airlines Group Inc.,13.10,+0.06,+0.46%,34.102M,36.432M,8.509B,N/A,
RBLX,Roblox Corporation,31.12,+1.48,+4.99%,32.73M,28.876M,18.46B,N/A,
ENIA,Enel Américas S.A.,4.8100,0.0000,0.00%,32.43M,2.872M,10.32B,10.69,
